ticker,year,market_cap,data_quality_flag_x,company_name,cik,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag_y,profit_margin,gross_margin,operating_margin,debt_to_assets,return_on_assets,return_on_equity,cash_to_assets,revenue_growth,net_income_growth,log_assets,log_revenue,log_market_cap,company_id
MRK,2023,255294181309.084,ok,Merck & Co Inc,310158,48704000000.0,13049000000.0,109160000000.0,,45991000000.0,12694000000.0,28745000000.0,,,2532643872.0,sec_company_facts,ok,0.26792460578186594,,,0.26332905826310005,0.11954012458776109,0.2837294253223457,0.11628801758886038,0.17308155498819788,0.84646950615537,25.416080532786548,24.60902699918563,26.265682369351996,310158
MRK,2024,238688261733.86353,ok,Merck & Co Inc,310158,59283000000.0,14519000000.0,106675000000.0,,37581000000.0,6841000000.0,33683000000.0,,,2526036240.0,sec_company_facts,ok,0.24491000792807383,,,0.31575345676119054,0.1361049917975158,0.3863388414358319,0.06412936489336771,0.21721008541392894,0.11265231052187907,25.393052666020473,24.805588423941188,26.198424193270814,310158
TMO,2017,74545915505.95734,ok,Thermo Fisher Scientific Inc,97745,16965000000.0,1975000000.0,40834000000.0,,20548000000.0,786000000.0,15372000000.0,2336000000.0,1958000000.0,401784066.0,sec_company_facts,ok,0.11641615089890953,0.11541408782788093,0.13769525493663426,0.3764509967184209,0.048366557280697456,0.09611641035623905,0.019248665327913014,,,24.43278090466042,23.554418235182606,25.034681088003722,97745
TMO,2018,87510994052.62212,ok,Thermo Fisher Scientific Inc,97745,18274000000.0,2022000000.0,45908000000.0,,21350000000.0,1335000000.0,18873000000.0,2458000000.0,2193000000.0,399003681.0,sec_company_facts,ok,0.11064900952172485,0.12000656670679655,0.13450804421582577,0.4111048183323168,0.04404461096105254,0.0947072599531616,0.029079898928291364,0.0771588564692014,0.023797468354430418,24.549905230764832,23.62874512152284,25.195030268732825,97745
TMO,2019,127316262680.86374,ok,Thermo Fisher Scientific Inc,97745,20918000000.0,2225000000.0,56669000000.0,,21540000000.0,2103000000.0,18990000000.0,2960000000.0,2580000000.0,398828389.0,sec_company_facts,ok,0.1063677215795009,0.12333875131465723,0.14150492398890907,0.335103848665055,0.039263089166916655,0.10329619312906221,0.037110236637314935,0.14468643975046525,0.10039564787339272,24.760493160951423,23.763875869278486,25.569940085181937,97745
TMO,2020,180668339740.7166,ok,Thermo Fisher Scientific Inc,97745,24358000000.0,2938000000.0,56232000000.0,,25413000000.0,2399000000.0,17752000000.0,3783000000.0,,393793362.0,sec_company_facts,ok,0.12061745627719846,,0.15530831759586172,0.31569213259354106,0.0522478304168445,0.11561012080431275,0.04266254090197752,0.16445166841954295,0.32044943820224714,24.752751826820017,23.91612617461133,25.91992881023254,97745
TMO,2021,257617305859.89136,ok,Thermo Fisher Scientific Inc,97745,25542000000.0,3696000000.0,58381000000.0,,34507000000.0,10325000000.0,21728000000.0,4594000000.0,,391191770.0,sec_company_facts,ok,0.14470284237726097,,0.17986062172108683,0.3721758791387609,0.06330826810092324,0.1071087025820848,0.17685548380466248,0.04860826011987851,0.257998638529612,24.790256331379496,23.96358999302048,26.274741010053177,97745
TMO,2022,209949437120.03552,ok,Thermo Fisher Scientific Inc,97745,32218000000.0,6375000000.0,69052000000.0,,40793000000.0,4477000000.0,34670000000.0,7794000000.0,,385430077.0,sec_company_facts,ok,0.19787075547830404,,0.2419144577565336,0.5020853849273011,0.0923217285523953,0.15627681219817124,0.06483519666338412,0.2613734241641219,0.7248376623376624,24.958125680900714,24.195791139522186,26.0701325630539,97745
TMO,2023,200736378881.63428,ok,Thermo Fisher Scientific Inc,97745,39211000000.0,7725000000.0,95123000000.0,,43978000000.0,8524000000.0,34278000000.0,10028000000.0,,381312268.0,sec_company_facts,ok,0.19701104281961695,,0.2557445614750963,0.36035448839923045,0.0812106430621406,0.17565600982309337,0.08961029404034776,0.21705257930349497,0.21176470588235285,25.278436627940085,24.392223156623473,26.025258336321272,97745
TMO,2024,195182165238.9474,ok,Thermo Fisher Scientific Inc,97745,44915000000.0,6950000000.0,97154000000.0,,46735000000.0,8077000000.0,34727000000.0,8393000000.0,,377261182.0,sec_company_facts,ok,0.15473672492485807,,0.18686407658911278,0.3574428227350392,0.07153591205714639,0.1487108163046967,0.0831360520410894,0.1454693835913392,-0.10032362459546929,25.299563185365386,24.52803765162758,25.99719914014747,97745
ABT,2017,85013686135.94344,ok,Abbott Laboratories,1800,20405000000.0,4423000000.0,41247000000.0,,20538000000.0,4063000000.0,20684000000.0,2867000000.0,2601000000.0,1746333892.0,sec_company_facts,ok,0.21676059789267335,0.1274687576574369,0.1405047782406273,0.5014667733410915,0.10723204111814193,0.21535689940597916,0.09850413363396125,,,24.44284421980962,23.73904580580418,25.16607809383951,1800
ABT,2018,110357093801.18909,ok,Abbott Laboratories,1800,20853000000.0,1400000000.0,52666000000.0,,30897000000.0,9407000000.0,27718000000.0,3026000000.0,2751000000.0,1756470269.0,sec_company_facts,ok,0.0671366230278617,0.13192346424974824,0.14511101520164965,0.5262978012379903,0.026582614969809744,0.04531184257371266,0.17861618501500018,0.021955403087478453,-0.6834727560479312,24.687235922997303,23.76076365973287,25.42698725214293,1800
ABT,2019,135258216951.036,ok,Abbott Laboratories,1800,27390000000.0,477000000.0,76250000000.0,,30524000000.0,3844000000.0,19366000000.0,1564000000.0,3739000000.0,1763433243.0,sec_company_facts,ok,0.01741511500547645,0.13650967506389194,0.05710113179992698,0.25398032786885244,0.006255737704918033,0.015627047569125932,0.05041311475409836,0.31348007480938,-0.6592857142857143,25.057283252433933,24.033443820221397,25.630451506624503,1800
ABT,2020,173980707246.0136,ok,Abbott Laboratories,1800,30578000000.0,2368000000.0,67173000000.0,,31088000000.0,3860000000.0,17938000000.0,3650000000.0,,1771529358.0,sec_company_facts,ok,0.0774412976649879,,0.11936686506638759,0.2670418173968708,0.03525225909219478,0.0761708697889861,0.057463564229675614,0.11639284410368744,3.964360587002097,24.930537218023723,24.14354663308483,25.88221025211706,1800
ABT,2021,226062572079.96585,ok,Abbott Laboratories,1800,31904000000.0,3687000000.0,72548000000.0,,32784000000.0,6838000000.0,18534000000.0,4532000000.0,,1763482267.0,sec_company_facts,ok,0.11556544633901705,,0.14205115346038114,0.25547223906930583,0.0508215250592711,0.11246339677891655,0.0942548381761041,0.04336451043233702,0.5570101351351351,25.00751424870159,24.18599723072584,26.1440776655084,1800
ABT,2022,176712092871.69156,ok,Abbott Laboratories,1800,34608000000.0,4495000000.0,75196000000.0,,35802000000.0,9799000000.0,18050000000.0,5357000000.0,,1737946233.0,sec_company_facts,ok,0.12988326398520572,,0.15479079981507166,0.2400393637959466,0.05977711580403213,0.1255516451594883,0.13031278259481888,0.08475426278836506,0.2191483590995389,25.043363874998125,24.267350706157114,25.897787651234758,1800
ABT,2023,180419675892.3183,ok,Abbott Laboratories,1800,43075000000.0,7071000000.0,74438000000.0,,36686000000.0,9882000000.0,16773000000.0,8425000000.0,,1735184289.0,sec_company_facts,ok,0.16415554265815438,,0.1955890887986071,0.22532846126978157,0.09499180526075392,0.19274382598266368,0.13275477578656064,0.2446544151641239,0.5730812013348165,25.033232401083872,24.486208619360404,25.918551506766676,1800
