ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
CRM,Salesforce COM Inc,1108524,2017,1511167000.0,-262688000.0,12762920000.0,7760051000.0,3038510000.0,781635000.0,,-145633000.0,4084316000.0,707500000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2018,,-47426000.0,17584923000.0,10084796000.0,3975183000.0,908117000.0,1726821000.0,114923000.0,5012668000.0,731500000.0,sec_company_facts,missing_revenue
CRM,Salesforce COM Inc,1108524,2019,8437000000.0,323000000.0,21984000000.0,11608000000.0,5003000000.0,1158000000.0,3198000000.0,218000000.0,6203000000.0,771000000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2020,13282000000.0,1110000000.0,55126000000.0,21241000000.0,10376000000.0,4145000000.0,2690000000.0,535000000.0,9831000000.0,921000000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2021,13282000000.0,1110000000.0,55126000000.0,21241000000.0,10376000000.0,4145000000.0,2690000000.0,535000000.0,9831000000.0,921000000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2022,17098000000.0,126000000.0,66301000000.0,24808000000.0,15605000000.0,6195000000.0,2677000000.0,297000000.0,12863000000.0,990000000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2023,21252000000.0,4072000000.0,95209000000.0,37078000000.0,33885000000.0,5464000000.0,10596000000.0,455000000.0,15814000000.0,1000000000.0,sec_company_facts,ok
CRM,Salesforce COM Inc,1108524,2024,26492000000.0,1444000000.0,98849000000.0,40490000000.0,41493000000.0,7016000000.0,10601000000.0,548000000.0,19466000000.0,970000000.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2017,2820270000.0,456227000.0,4525133000.0,,3403367000.0,1196268000.0,,549581000.0,1538704000.0,198077418.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2018,3045797000.0,517724000.0,4948289000.0,,3373734000.0,891488000.0,,632864000.0,1688525000.0,198077418.0,sec_company_facts,ok
