ticker,year,market_cap,price_used,shares_used,data_source,data_quality_flag
TXN,2019,99816884240.51047,106.87311553955078,933975619.0,yfinance+sec_facts,ok
TXN,2020,129526727231.63315,140.75332641601562,920239191.0,yfinance+sec_facts,ok
TXN,2021,152781157680.14597,165.4286651611328,923547062.0,yfinance+sec_facts,ok
TXN,2022,135134910934.30199,149.1216583251953,906205795.0,yfinance+sec_facts,ok
TXN,2023,144284720694.6582,158.67884826660156,909287673.0,yfinance+sec_facts,ok
TXN,2024,163426298691.61075,179.52365112304688,910332971.0,yfinance+sec_facts,ok
CRM,2017,71097704467.77344,100.491455078125,707500000.0,yfinance+sec_facts,ok
CRM,2018,98489628349.3042,134.64064025878906,731500000.0,yfinance+sec_facts,ok
CRM,2019,123262942657.4707,159.87411499023438,771000000.0,yfinance+sec_facts,ok
CRM,2020,201464688583.37402,218.74559020996094,921000000.0,yfinance+sec_facts,ok
CRM,2021,230073335403.44238,249.8081817626953,921000000.0,yfinance+sec_facts,ok
CRM,2022,129031792602.53906,130.33514404296875,990000000.0,yfinance+sec_facts,ok
CRM,2023,258664978027.34375,258.66497802734375,1000000000.0,yfinance+sec_facts,ok
CRM,2024,320200143737.79297,330.1032409667969,970000000.0,yfinance+sec_facts,ok
GRMN,2017,9568716842.322441,48.30796432495117,198077418.0,yfinance+sec_facts,ok
GRMN,2018,10514014692.19368,53.08032989501953,198077418.0,yfinance+sec_facts,ok
GRMN,2019,16040405679.874825,84.1188735961914,190687357.0,yfinance+sec_facts,ok
GRMN,2020,20296160701.59044,105.94568634033203,191571374.0,yfinance+sec_facts,ok
GRMN,2021,23676795638.882446,122.81318664550781,192787080.0,yfinance+sec_facts,ok
GRMN,2022,16362840203.727036,85.50838470458984,191359482.0,yfinance+sec_facts,ok
GRMN,2023,23511343331.08721,122.59703826904297,191777417.0,yfinance+sec_facts,ok
GRMN,2024,38596753314.728165,200.60289001464844,192403775.0,yfinance+sec_facts,ok
LOGI,2017,4865530302.162113,29.74567985534668,163570990.0,yfinance+sec_facts,ok
LOGI,2018,4644788693.597946,28.07381248474121,165449160.0,yfinance+sec_facts,ok
LOGI,2019,7176072344.254097,43.074039459228516,166598546.0,yfinance+sec_facts,ok
LOGI,2020,15084150582.49414,89.88421630859375,167817568.0,yfinance+sec_facts,ok
LOGI,2021,12975832151.352737,77.03534698486328,168439978.0,yfinance+sec_facts,ok
LOGI,2022,9782874664.136868,59.40385818481445,164684163.0,yfinance+sec_facts,ok
LOGI,2023,14641616031.313477,92.23779296875,158737710.0,yfinance+sec_facts,ok
LOGI,2024,12456852549.076126,81.1817855834961,153443934.0,yfinance+sec_facts,ok
HPQ,2017,2573664202.6138573,15.576404571533203,165228387.0,yfinance+sec_facts,ok
HPQ,2018,24133372479.61342,15.534893989562988,1553494507.0,yfinance+sec_facts,ok
HPQ,2019,23094210598.055134,16.11210060119629,1433345730.0,yfinance+sec_facts,ok
HPQ,2020,25798061515.95659,20.00413703918457,1289636312.0,yfinance+sec_facts,ok
