ticker,company_name,cik,latest_10q_filing_date,latest_10q_period,latest_10q_form_type,latest_10q_total_words,latest_10q_risk_word_count,latest_10q_risk_score,latest_10q_risk_words_per_1000,latest_10q_debt_liquidity_mentions,latest_10q_legal_regulatory_mentions,latest_10q_uncertainty_mentions,latest_10q_cost_cyber_mentions,latest_10q_data_quality_flag,latest_10q_warning_text
TMO,Thermo Fisher Scientific Inc,97745,2026-05-01,2026-03-28,10-Q,11944.0,31.0,56.5,2.6,51.0,18.0,13.0,25.0,ok,
TMUS,T-Mobile US Inc,1283699,2026-04-28,2026-03-31,10-Q,12219.0,22.0,42.7,1.8,93.0,7.0,11.0,1.0,ok,
TSLA,Tesla Motors Inc,1318605,2026-04-23,2026-03-31,10-Q,12378.0,46.0,63.5,3.72,50.0,40.0,13.0,12.0,ok,
TXN,Texas Instruments Inc,97476,2026-04-24,2026-03-31,10-Q,1118.0,10.0,67.0,8.94,1.0,4.0,1.0,3.0,ok,
UNH,UnitedHealth Group Inc,731766,2026-05-05,2026-03-31,10-Q,10893.0,58.0,74.4,5.32,86.0,31.0,5.0,18.0,ok,
UPS,United Parcel Service Inc,1090727,2026-05-06,2026-03-31,10-Q,12264.0,32.0,55.2,2.61,50.0,14.0,21.0,28.0,ok,
V,Visa Inc,1403161,2026-04-29,2026-03-31,10-Q,12625.0,33.0,44.3,2.61,38.0,82.0,7.0,0.0,ok,
VMW,VMware Inc,1124610,2023-09-07,2023-08-04,10-Q,12515.0,15.0,27.2,1.2,37.0,17.0,6.0,1.0,ok,
VRTX,Vertex Pharmaceuticals Inc,875320,2026-05-05,2026-03-31,10-Q,11796.0,16.0,30.1,1.36,29.0,14.0,9.0,4.0,ok,
VZ,Verizon Communications Inc,732712,2026-05-01,2026-03-31,10-Q,12121.0,27.0,49.4,2.23,109.0,2.0,18.0,2.0,ok,
WDAY,Workday Inc,1327811,2026-05-22,2026-04-30,10-Q,12315.0,40.0,56.1,3.25,73.0,5.0,11.0,31.0,ok,
WDC,Western Digital Corp,106040,2026-05-01,2026-04-03,10-Q,12633.0,49.0,43.8,3.88,33.0,16.0,5.0,6.0,ok,
WFC,Wells Fargo & Co,72971,2026-04-29,2026-03-31,10-Q,12187.0,98.0,63.8,8.04,118.0,12.0,2.0,1.0,ok,
WMT,Walmart Inc,104169,2026-05-29,2026-04-30,10-Q,12386.0,20.0,57.2,1.61,71.0,44.0,14.0,16.0,ok,
XLNX,Xilinx Inc,743988,2022-01-27,2022-01-01,10-Q,12470.0,52.0,57.3,4.17,48.0,22.0,10.0,1.0,ok,
XOM,Exxon Mobil Corp,34088,2026-05-04,2026-03-31,10-Q,4095.0,15.0,49.1,3.66,14.0,5.0,2.0,5.0,ok,
ZS,Zscaler Inc,1713683,2026-05-26,2026-04-30,10-Q,12246.0,51.0,42.7,4.16,27.0,12.0,3.0,15.0,ok,
