ticker,current_price,current_market_cap,previous_close,daily_change_pct,volume,shares_outstanding,last_updated,data_quality_flag
PG,146.97000122070312,342234194639.18805,149.1300048828125,-1.44840313242578,1767619.0,2328598978.0,2026-07-23T11:28:58,ok
PLD,142.77000427246094,133109900243.37769,144.6999969482422,-1.3337890231411615,2727973.0,932338000.0,2026-07-23T11:28:58,ok
PM,192.9199981689453,300677169716.51355,194.3000030517578,-0.7102443958505203,1280851.0,1558558846.0,2026-07-23T11:28:58,ok
PYPL,55.54999923706055,49000959463.15692,55.5099983215332,0.07206073993309195,4970772.0,882105493.0,2026-07-23T11:28:58,ok
QCOM,168.64999389648438,177757093566.89453,175.6300048828125,-3.974270222781963,2301158.0,1054000000.0,2026-07-23T11:28:58,ok
REGN,653.1400146484375,68474566896.20801,651.1799926757812,0.3009954228787452,349216.0,104839032.0,2026-07-23T11:28:58,ok
SBUX,102.2699966430664,116557115174.10278,103.9800033569336,-1.6445534320644555,1621651.0,1139700000.0,2026-07-23T11:28:58,ok
SLB,47.834999084472656,71516081845.16882,47.66999816894531,0.34613157513153386,3596869.0,1495057661.0,2026-07-23T11:28:58,ok
SNPS,372.8599853515625,71394978314.62708,377.6099853515625,-1.257911650714865,558428.0,191479325.0,2026-07-23T11:28:58,ok
SO,96.55000305175781,108840924452.14993,95.80000305175781,0.7828809771486103,991937.0,1127301098.0,2026-07-23T11:28:58,ok
STX,918.5,207812568546.0,908.0999755859375,1.1452510399366593,1517121.0,226252116.0,2026-07-23T11:28:58,ok
SWKS,60.310001373291016,9070983835.081158,63.15999984741211,-4.512347183354004,1209029.0,150405963.0,2026-07-23T11:28:58,ok
T,22.91990089416504,159235079809.41617,23.040000915527344,-0.5212674331161407,33241684.0,6948338835.0,2026-07-23T11:28:58,ok
TGT,134.3800048828125,61034203848.29004,137.9199981689453,-2.566700502559819,1102216.0,454191112.0,2026-07-23T11:28:58,ok
TMO,575.094970703125,213717635526.8274,526.4600219726562,9.23810863135108,2987344.0,371621465.0,2026-07-23T11:28:58,ok
TMUS,178.0850067138672,192724434292.72375,190.94000244140625,-6.732479084095473,2728014.0,1082204717.0,2026-07-23T11:28:58,ok
TSLA,320.1199951171875,1202169640114.5183,374.010009765625,-14.408709189951335,53870889.0,3755723871.0,2026-07-23T11:28:58,ok
TXN,284.4750061035156,258898652274.49057,294.19000244140625,-3.3022863650254592,4313106.0,910092791.0,2026-07-23T11:28:58,ok
UNH,421.8349914550781,383087086901.317,431.30999755859375,-2.196797235665384,1450836.0,908144404.0,2026-07-23T11:28:58,ok
UPS,114.27999877929688,97138716526.51468,115.83999633789062,-1.3466830178787594,909834.0,850006279.0,2026-07-23T11:28:58,ok
V,350.2449951171875,666076247945.1416,353.4200134277344,-0.8983696989180516,1293739.0,1901743800.0,2026-07-23T11:28:58,ok
VRTX,475.010009765625,120560113607.73853,472.57000732421875,0.5163261323379382,247732.0,253805417.0,2026-07-23T11:28:58,ok
VZ,44.2400016784668,184726733186.93698,44.290000915527344,-0.11289057581170193,7467475.0,4175558910.0,2026-07-23T11:28:58,ok
WDAY,128.75999450683594,31800303799.37416,132.4199981689453,-2.76393574438797,1615962.0,246973479.0,2026-07-23T11:28:58,ok
WDC,562.47998046875,193876798312.80713,556.6699829101562,1.0437059185803907,2551464.0,344682131.0,2026-07-23T11:28:58,ok
WFC,85.71499633789062,262304131271.46136,86.41999816894531,-0.8157855195465938,3012351.0,3060189494.0,2026-07-23T11:28:58,ok
WMT,107.88500213623047,858557386637.4662,109.33000183105469,-1.3216863355194541,7363836.0,7958079155.0,2026-07-23T11:28:58,ok
XOM,158.2100067138672,655772118328.6448,154.4499969482422,2.434451175084852,5243221.0,4144947162.0,2026-07-23T11:28:58,ok
ZS,139.57000732421875,22569799588.645935,142.25999450683594,-1.8908950418157981,593358.0,161709525.0,2026-07-23T11:28:58,ok
