ticker,year,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text
INTC,2022,19.4,real_sec_filing,"risk_per1k=5.7, debt=3, legal=7, uncertainty=1, cost+cyber=22",ok,
INTC,2023,22.8,real_sec_filing,"risk_per1k=5.6, debt=5, legal=5, uncertainty=1, cost+cyber=24",ok,
INTC,2024,23.9,real_sec_filing,"risk_per1k=5.3, debt=4, legal=5, uncertainty=5, cost+cyber=32",ok,
INTU,2011,12.4,real_sec_filing,"risk_per1k=2.9, debt=2, legal=18, uncertainty=3, cost+cyber=1",ok,
INTU,2012,15.6,real_sec_filing,"risk_per1k=2.9, debt=4, legal=19, uncertainty=2, cost+cyber=1",ok,
INTU,2013,19.2,real_sec_filing,"risk_per1k=3.3, debt=6, legal=16, uncertainty=3, cost+cyber=2",ok,
INTU,2014,13.7,real_sec_filing,"risk_per1k=3.6, debt=4, legal=14, uncertainty=3, cost+cyber=0",ok,
INTU,2015,14.2,real_sec_filing,"risk_per1k=3.8, debt=3, legal=15, uncertainty=4, cost+cyber=2",ok,
INTU,2017,34.6,real_sec_filing,"risk_per1k=7.5, debt=6, legal=24, uncertainty=8, cost+cyber=6",ok,
INTU,2018,39.1,real_sec_filing,"risk_per1k=7.7, debt=6, legal=22, uncertainty=8, cost+cyber=25",ok,
INTU,2019,41.6,real_sec_filing,"risk_per1k=7.7, debt=8, legal=23, uncertainty=7, cost+cyber=25",ok,
INTU,2020,34.2,real_sec_filing,"risk_per1k=6.7, debt=10, legal=22, uncertainty=8, cost+cyber=1",ok,
INTU,2021,28.5,real_sec_filing,"risk_per1k=4.3, debt=12, legal=22, uncertainty=3, cost+cyber=0",ok,
INTU,2022,28.1,real_sec_filing,"risk_per1k=5.4, debt=10, legal=16, uncertainty=6, cost+cyber=1",ok,
INTU,2023,28.2,real_sec_filing,"risk_per1k=4.8, debt=12, legal=15, uncertainty=6, cost+cyber=0",ok,
INTU,2024,36.1,real_sec_filing,"risk_per1k=6.6, debt=12, legal=18, uncertainty=9, cost+cyber=3",ok,
LOGI,2013,12.8,real_sec_filing,"risk_per1k=1.9, debt=3, legal=6, uncertainty=2, cost+cyber=13",ok,
LOGI,2017,24.4,real_sec_filing,"risk_per1k=4.0, debt=8, legal=9, uncertainty=5, cost+cyber=11",ok,
LOGI,2018,24.3,real_sec_filing,"risk_per1k=3.9, debt=8, legal=9, uncertainty=5, cost+cyber=11",ok,
LOGI,2019,26.2,real_sec_filing,"risk_per1k=4.0, debt=9, legal=9, uncertainty=4, cost+cyber=14",ok,
LOGI,2020,27.0,real_sec_filing,"risk_per1k=3.7, debt=9, legal=12, uncertainty=4, cost+cyber=16",ok,
LOGI,2021,33.9,real_sec_filing,"risk_per1k=7.5, debt=8, legal=10, uncertainty=5, cost+cyber=19",ok,
LOGI,2022,34.9,real_sec_filing,"risk_per1k=8.0, debt=8, legal=10, uncertainty=3, cost+cyber=24",ok,
LOGI,2023,42.4,real_sec_filing,"risk_per1k=9.9, debt=8, legal=13, uncertainty=5, cost+cyber=27",ok,
